"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",59641488,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",15988679,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4311217,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",125034,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1524826,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",10027602,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11627537,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1078069,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4879133,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1206216,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4464119,,
"ITE","Centro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11831092,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3692555,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",870165,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1512672,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5755700,,
"ITF","Sud","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",13707269,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1293941,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",300516,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5712143,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3953305,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",553254,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1894110,,
"ITG","Isole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6486911,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4875290,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1611621,,
